coral_id,density,bommie,initial_mass,final_mass,mass_change_raw,mass_change_prop,vertical_height_initial,vertical_height_final,vertical_height_change_raw,vertical_height_change_prop,tle_initial,tle_final,tle_change_raw,tle_change_prop,growth_ratio_vh_raw,growth_ratio_raw,log_growth_ratio_raw,growth_ratio_prop,log_growth_ratio_prop,number_branches,sum_branch_lengths,average_branch_length,linear_extension_initial,linear_extension_final,linear_extension_change,linear_extension_change_prop,growth_ratio_le,branch_sums_vh_ratio
1,High,24,10.2,11,0.8,0.078431373,70,80,10,0.142857143,72,81,9,0.125,0.08,0.088888889,-1.051152522,0.62745098,-0.202420198,0,0,0,72,81,9,0.125,0.088888889,0
2,High,20,12,13,1,0.083333333,69,80,11,0.15942029,73,116,43,0.589041096,0.090909091,0.023255814,-1.633468456,0.141472868,-0.849326842,7,36,5.142857143,69,80,11,0.15942029,0.090909091,3.272727273
3,High,6,9.6,10.5,0.9,0.09375,70,76,6,0.085714286,71,81,10,0.14084507,0.15,0.09,-1.045757491,0.665625,-0.176770375,0,0,0,71,81,10,0.14084507,0.09,0
4,High,13,10.5,11.4,0.9,0.085714286,66,77,11,0.166666667,68,100,32,0.470588235,0.081818182,0.028125,-1.550907469,0.182142857,-0.739587855,3,21,7,68,79,11,0.161764706,0.081818182,1.909090909
5,High,24,9.2,9.6,0.4,0.043478261,72,84,12,0.166666667,72,89,17,0.236111111,0.033333333,0.023529412,-1.62838893,0.184143223,-0.734844261,0,0,0,72,89,17,0.236111111,0.023529412,0
6,High,20,9.1,10,0.9,0.098901099,75,83,8,0.106666667,81,94,13,0.160493827,0.1125,0.069230769,-1.159700843,0.616229924,-0.210257216,1,8,8,75,86,11,0.146666667,0.081818182,1
7,High,9,8.3,8.9,0.6,0.072289157,62,71,9,0.14516129,62,74,12,0.193548387,0.066666667,0.05,-1.301029996,0.373493976,-0.427716399,1,3,3,62,71,9,0.14516129,0.066666667,0.333333333
8,High,17,10.5,11.6,1.1,0.104761905,72,81,9,0.125,72,110,38,0.527777778,0.122222222,0.028947368,-1.538390911,0.198496241,-0.702247714,3,26,8.666666667,72,84,12,0.166666667,0.091666667,2.888888889
9,High,9,8.8,9.8,1,0.113636364,69,85,16,0.231884058,71,136,65,0.915492958,0.0625,0.015384615,-1.812913357,0.124125874,-0.90613768,6,46,7.666666667,71,90,19,0.267605634,0.052631579,2.875
10,High,12,8.8,9.4,0.6,0.068181818,72,81,9,0.125,73,85,12,0.164383562,0.066666667,0.05,-1.301029996,0.414772727,-0.382189808,0,0,0,73,85,12,0.164383562,0.05,0
11,High,2,9.9,10.6,0.7,0.070707071,75,79,4,0.053333333,76,80,4,0.052631579,0.175,0.175,-0.756961951,1.343434343,0.128216446,0,0,0,76,80,4,0.052631579,0.175,0
12,High,12,9,9.8,0.8,0.088888889,72,81,9,0.125,72,90,18,0.25,0.088888889,0.044444444,-1.352182518,0.355555556,-0.449092531,1,8,8,72,82,10,0.138888889,0.08,0.888888889
13,High,2,9.7,10.5,0.8,0.082474227,73,88,15,0.205479452,74,95,21,0.283783784,0.053333333,0.038095238,-1.419129308,0.290623466,-0.536669322,1,4,4,74,91,17,0.22972973,0.047058824,0.266666667
14,High,13,11,12,1,0.090909091,69,77,8,0.115942029,74,89,15,0.202702703,0.125,0.066666667,-1.176091259,0.448484848,-0.348252224,2,12,6,74,77,3,0.040540541,0.333333333,1.5
15,High,6,9.7,10.5,0.8,0.082474227,76,81,5,0.065789474,77,84,7,0.090909091,0.16,0.114285714,-0.942008053,0.907216495,-0.042289062,0,0,0,77,84,7,0.090909091,0.114285714,0
16,High,17,10.7,12.2,1.5,0.140186916,75,86,11,0.146666667,79,103,24,0.303797468,0.136363636,0.0625,-1.204119983,0.461448598,-0.335876669,3,16,5.333333333,76,87,11,0.144736842,0.136363636,1.454545455
17,High,24,7.1,7.6,0.5,0.070422535,77,80,3,0.038961039,79,89,10,0.126582278,0.166666667,0.05,-1.301029996,0.556338028,-0.254661253,1,4,4,79,85,6,0.075949367,0.083333333,1.333333333
18,High,9,9.4,10.3,0.9,0.095744681,72,82,10,0.138888889,77,105,28,0.363636364,0.09,0.032142857,-1.492915522,0.263297872,-0.57955265,4,22,5.5,72,83,11,0.152777778,0.081818182,2.2
19,Mid,15,8.3,9.2,0.9,0.108433735,75,84,9,0.12,77,85,8,0.103896104,0.1,0.1125,-0.948847478,1.043674699,0.018565155,0,0,0,77,85,8,0.103896104,0.1125,0
20,Mid,19,8.7,9.5,0.8,0.091954023,73,87,14,0.191780822,73,88,15,0.205479452,0.057142857,0.053333333,-1.273001272,0.447509579,-0.349197665,0,0,0,73,88,15,0.205479452,0.053333333,0
21,High,12,9.6,10.6,1,0.104166667,70,86,16,0.228571429,73,116,43,0.589041096,0.0625,0.023255814,-1.633468456,0.176841085,-0.752416828,6,30,5,73,86,13,0.178082192,0.076923077,1.875
23,Mid,15,10.3,11.4,1.1,0.106796117,69,77,8,0.115942029,72,107,35,0.486111111,0.1375,0.031428571,-1.502675359,0.219694868,-0.658180087,4,24,6,72,83,11,0.152777778,0.1,3
24,High,2,7.7,8,0.3,0.038961039,69,73,4,0.057971014,69,80,11,0.15942029,0.075,0.027272727,-1.56427143,0.244391972,-0.611913065,0,0,0,69,80,11,0.15942029,0.027272727,0
25,High,6,10.4,11,0.6,0.057692308,71,81,10,0.14084507,73,98,25,0.342465753,0.06,0.024,-1.619788758,0.168461538,-0.773499237,3,13,4.333333333,73,85,12,0.164383562,0.05,1.3
26,High,9,9.2,9.8,0.6,0.065217391,66,76,10,0.151515152,67,90,23,0.343283582,0.06,0.026086957,-1.583576586,0.189981096,-0.72128961,3,10,3.333333333,67,80,13,0.194029851,0.046153846,1
